timestamp,ticker,bid,ask
2024-12-23 15:06:00,NVDA,1069.9233,1070.3745
2024-11-13 09:50:00,TSLA,211.1736,211.369
2024-12-16 14:19:00,PG,151.3624,151.4202
2024-11-14 11:14:00,NVDA,1208.2502,1208.7272
2024-12-09 14:42:00,JPM,303.816,303.9364
2024-11-26 12:03:00,AAPL,365.9119,366.0465
2024-11-04 11:20:00,NVDA,1454.1417,1454.7068
2024-12-18 15:54:00,PG,151.0889,151.1703
2024-12-19 09:51:00,XOM,95.666,95.7528
2024-11-18 13:46:00,XOM,99.3498,99.3866
2024-12-30 11:29:00,NVDA,1069.8439,1070.2519
2024-12-16 13:53:00,XOM,98.2141,98.2507
2024-12-30 13:42:00,XOM,96.8685,96.9043
2024-12-30 10:54:00,KO,68.1334,68.1625
2024-11-13 13:54:00,AAPL,354.6461,354.7783
2024-12-24 11:01:00,TSLA,226.6706,226.7643
2024-10-31 10:40:00,MSFT,264.7387,264.8624
2024-12-12 14:08:00,TSLA,213.5479,213.6284
2024-12-06 12:16:00,JPM,303.4292,303.5402
2024-12-10 10:41:00,TSLA,212.9913,213.0901
2024-12-03 13:42:00,JPM,304.5369,304.6496
2024-12-23 15:43:00,BP.L,4.352,4.3542
2024-12-18 15:47:00,KO,65.5087,65.5424
2024-10-31 09:52:00,GS,479.5115,479.9376
2024-11-04 15:25:00,KO,64.0417,64.0708
2024-12-02 13:12:00,XOM,100.0396,100.0761
2024-12-03 11:49:00,PG,151.4405,151.4968
2024-12-24 11:56:00,AAPL,394.8847,395.0306
2024-11-12 12:25:00,AAPL,350.864,350.9921
2024-12-27 10:21:00,NVDA,1083.8578,1084.4661
2024-12-16 09:56:00,PG,152.759,152.8846
2024-11-14 13:08:00,KO,61.7045,61.727
2024-12-27 12:04:00,KO,68.6479,68.6732
2024-11-20 13:54:00,MSFT,255.7135,255.8088
2024-10-29 13:37:00,PG,143.8111,143.8641
2024-12-11 10:16:00,BP.L,4.7894,4.7922
2024-12-19 11:07:00,KO,65.9681,65.9947
2024-12-23 10:33:00,GS,497.7558,498.0022
2024-12-09 09:52:00,BP.L,4.7247,4.7289
2024-12-12 10:44:00,KO,64.5084,64.5377
2024-11-22 12:35:00,BP.L,4.9065,4.9083
2024-12-03 12:20:00,PG,151.886,151.9415
