ticker,date,close,volume
AAPL,2023-01-03,128.0,65751386
AAPL,2023-01-04,130.882,88295965
AAPL,2023-01-05,130.5912,90500435
AAPL,2023-01-06,128.1087,55465034
AAPL,2023-01-09,125.7583,237740204
AAPL,2023-01-10,127.2456,71389590
AAPL,2023-01-11,126.1518,66696347
AAPL,2023-01-12,127.9069,53596699
AAPL,2023-01-13,128.2812,44699345
AAPL,2023-01-17,130.4352,61674393
AAPL,2023-01-18,131.6558,53038380
AAPL,2023-01-19,130.3002,61488823
AAPL,2023-01-20,132.5955,39277019
AAPL,2023-01-23,137.6532,65103614
AAPL,2023-01-24,136.1054,48784736
AAPL,2023-01-25,136.7988,42684688
AAPL,2023-01-26,134.6306,61625530
AAPL,2023-01-27,135.8585,50429826
AAPL,2023-01-30,133.6706,46184255
AAPL,2023-01-31,130.2617,59646302
AAPL,2023-02-01,129.3028,77259601
AAPL,2023-02-02,131.5146,75307845
AAPL,2023-02-03,132.8219,50031318
AAPL,2023-02-06,137.8426,49870806
AAPL,2023-02-07,139.3873,59990011
AAPL,2023-02-08,138.7662,38174423
AAPL,2023-02-09,138.0861,56581282
AAPL,2023-02-10,135.7284,56156495
AAPL,2023-02-13,136.9939,36199854
AAPL,2023-02-14,137.9735,52301919
AAPL,2023-02-15,136.8218,49470450
AAPL,2023-02-16,136.0999,46963351
AAPL,2023-02-17,143.3501,100593381
AAPL,2023-02-21,143.4428,52841434
AAPL,2023-02-22,138.5853,60467267
AAPL,2023-02-23,140.7502,66058712
AAPL,2023-02-24,142.7818,86354254
AAPL,2023-02-27,137.8474,52390683
AAPL,2023-02-28,135.6412,85118865
AAPL,2023-03-01,134.3442,70849376
AAPL,2023-03-02,137.4569,57496406
AAPL,2023-03-03,135.4807,70709426
AAPL,2023-03-06,136.224,53559608
AAPL,2023-03-07,137.9461,64976745
AAPL,2023-03-08,138.5485,61730855
AAPL,2023-03-09,134.9862,110805946
AAPL,2023-03-10,134.1836,42271066
AAPL,2023-03-13,134.2302,47596904
AAPL,2023-03-14,136.8769,47719857
AAPL,2023-03-15,138.7312,73256759
AAPL,2023-03-16,136.3816,51283351
AAPL,2023-03-17,134.5536,44365458
AAPL,2023-03-20,137.8457,61344989
AAPL,2023-03-21,142.4288,61378732
AAPL,2023-03-22,145.0654,46778347
AAPL,2023-03-23,146.3376,66007869
AAPL,2023-03-24,144.7153,31739652
AAPL,2023-03-27,144.339,47025031
AAPL,2023-03-28,143.1892,50795424
AAPL,2023-03-29,141.1565,62215823
AAPL,2023-03-30,134.6741,61185970
AAPL,2023-03-31,134.0934,82192533
AAPL,2023-04-03,133.6784,41571432
AAPL,2023-04-04,135.4375,53553718
AAPL,2023-04-05,136.7331,45101369
AAPL,2023-04-06,138.6544,72908886
AAPL,2023-04-10,137.4739,55770707
AAPL,2023-04-11,139.7235,260895120
AAPL,2023-04-12,138.5571,48553942
AAPL,2023-04-13,138.4899,72264090
AAPL,2023-04-14,140.3417,65567969
AAPL,2023-04-17,142.7089,54443906
AAPL,2023-04-18,140.461,64276390
AAPL,2023-04-19,137.4009,51178232
AAPL,2023-04-20,138.7744,45375701
AAPL,2023-04-21,136.1825,48362276
AAPL,2023-04-24,136.0252,43672235
AAPL,2023-04-25,131.69,106758682
AAPL,2023-04-26,131.2663,57730139
AAPL,2023-04-27,134.6541,76308872
AAPL,2023-04-28,135.2988,43829434
AAPL,2023-05-01,132.9879,69047804
AAPL,2023-05-02,136.1877,68588779
AAPL,2023-05-03,135.6959,44522994
